ID,ID Partido,Temperatura,Unidad
218,218,29.77,Centigrados
219,219,23.52,Centigrados
220,220,27.17,Centigrados
221,221,29.36,Centigrados
222,222,25.46,Centigrados
223,223,27.59,Centigrados
224,224,25.1,Centigrados
225,225,27.87,Centigrados
226,226,29.64,Centigrados
227,227,29.52,Centigrados
228,228,26.16,Centigrados
229,229,29.06,Centigrados
230,230,27.33,Centigrados
231,231,26.67,Centigrados
232,232,26.58,Centigrados
233,233,23.46,Centigrados
234,234,23.69,Centigrados
235,235,28.53,Centigrados
236,236,23.41,Centigrados
237,237,23.43,Centigrados
238,238,26.15,Centigrados
239,239,26.29,Centigrados
240,240,26.61,Centigrados
241,241,26.95,Centigrados
242,242,24.97,Centigrados
243,243,22.74,Centigrados
244,244,27.9,Centigrados
245,245,23.27,Centigrados
246,246,24.38,Centigrados
247,247,23.41,Centigrados
248,248,21.25,Centigrados
249,249,25.31,Centigrados
250,250,23.61,Centigrados
251,251,24.26,Centigrados
252,252,25.01,Centigrados
253,253,21.24,Centigrados
254,254,22.87,Centigrados
255,255,21.22,Centigrados
256,256,20.49,Centigrados
257,257,21.9,Centigrados
258,258,23.77,Centigrados
259,259,29.75,Centigrados
260,260,21.67,Centigrados
261,261,20.82,Centigrados
262,262,26.51,Centigrados
263,263,29.8,Centigrados
264,264,24.08,Centigrados
265,265,23.14,Centigrados
266,266,20.68,Centigrados
267,267,20.43,Centigrados
268,268,24.2,Centigrados
269,269,27.13,Centigrados
270,270,26.09,Centigrados
271,271,27.17,Centigrados
272,272,24.8,Centigrados
273,273,26.02,Centigrados
274,274,23.89,Centigrados
275,275,25.32,Centigrados
276,276,21.29,Centigrados
277,277,29.05,Centigrados
278,278,28.93,Centigrados
279,279,23.47,Centigrados
280,280,20.88,Centigrados
281,281,24.82,Centigrados
282,282,25.91,Centigrados
283,283,29.77,Centigrados
284,284,25.04,Centigrados
285,285,22.77,Centigrados
286,286,28.07,Centigrados
287,287,23.51,Centigrados
288,288,21.47,Centigrados
289,289,22.98,Centigrados
290,290,21.18,Centigrados
291,291,27.52,Centigrados
292,292,28.85,Centigrados
293,293,28.29,Centigrados
294,294,29.36,Centigrados
295,295,22.53,Centigrados
296,296,29.22,Centigrados
297,297,21.2,Centigrados
298,298,20.84,Centigrados
299,299,29.34,Centigrados
300,300,22.83,Centigrados
301,301,28.06,Centigrados
302,302,27.6,Centigrados
303,303,26.55,Centigrados
304,304,29,Centigrados
305,305,29.4,Centigrados
306,306,23.84,Centigrados
307,307,21.66,Centigrados
308,308,21.05,Centigrados
309,309,26.22,Centigrados
310,310,27.5,Centigrados
311,311,22.53,Centigrados
312,312,26.21,Centigrados
313,313,24.1,Centigrados
314,314,25.97,Centigrados
315,315,21.33,Centigrados
316,316,23.76,Centigrados
317,317,23.99,Centigrados
318,318,27.41,Centigrados
319,319,27.39,Centigrados
320,320,26.62,Centigrados
321,321,29.48,Centigrados
322,322,21.59,Centigrados
323,323,28.35,Centigrados
324,324,24.58,Centigrados
325,325,30.09,Centigrados
326,326,25.11,Centigrados
327,327,22.69,Centigrados
328,328,28.08,Centigrados
329,329,24.88,Centigrados
330,330,22.57,Centigrados
331,331,22.96,Centigrados
332,332,25.96,Centigrados
333,333,21.51,Centigrados
334,334,28.2,Centigrados
335,335,23.01,Centigrados
336,336,26.62,Centigrados
337,337,28.77,Centigrados
338,338,23.55,Centigrados
339,339,25.88,Centigrados
340,340,29.97,Centigrados
341,341,26.82,Centigrados
342,342,29.81,Centigrados
343,343,22.6,Centigrados
344,344,25.76,Centigrados
345,345,23.69,Centigrados
346,346,24.53,Centigrados
347,347,29.77,Centigrados
348,348,29.27,Centigrados
349,349,30.16,Centigrados
350,350,29.33,Centigrados
351,351,30.12,Centigrados
352,352,23.27,Centigrados
353,353,29.25,Centigrados
354,354,25.43,Centigrados
355,355,23.49,Centigrados
356,356,26.24,Centigrados
357,357,25.97,Centigrados
358,358,29.14,Centigrados
359,359,30.77,Centigrados
360,360,23.78,Centigrados
361,361,27.69,Centigrados
362,362,26.33,Centigrados
363,363,30.7,Centigrados
364,364,26.29,Centigrados
365,365,26.84,Centigrados
366,366,26.64,Centigrados
367,367,27.9,Centigrados
368,368,26.93,Centigrados
369,369,25.63,Centigrados
370,370,22.45,Centigrados
371,371,22.12,Centigrados
372,372,29.53,Centigrados
373,373,25.25,Centigrados
374,374,28.84,Centigrados
375,375,22.44,Centigrados
376,376,23.47,Centigrados
377,377,24.62,Centigrados
378,378,23.4,Centigrados
379,379,28.01,Centigrados
380,380,27.99,Centigrados
381,381,22.13,Centigrados
382,382,24.07,Centigrados
383,383,22.11,Centigrados
384,384,28.9,Centigrados
385,385,23.86,Centigrados
386,386,29.46,Centigrados
387,387,22.68,Centigrados
388,388,27.62,Centigrados
389,389,25.29,Centigrados
390,390,23.03,Centigrados
391,391,22.49,Centigrados
392,392,30.16,Centigrados
393,393,26.3,Centigrados
394,394,26.3,Centigrados
395,395,29.85,Centigrados
396,396,26.83,Centigrados
397,397,24.73,Centigrados
398,398,23.29,Centigrados
399,399,25.82,Centigrados
400,400,27.92,Centigrados
401,401,27.36,Centigrados
402,402,22.46,Centigrados
403,403,28.63,Centigrados
404,404,26.82,Centigrados
405,405,24.69,Centigrados
406,406,24.94,Centigrados
407,407,25.31,Centigrados
408,408,23.67,Centigrados
409,409,24,Centigrados
410,410,23.07,Centigrados
411,411,25.93,Centigrados
412,412,26.65,Centigrados
413,413,25.63,Centigrados
414,414,26.65,Centigrados
415,415,29.99,Centigrados
416,416,27.27,Centigrados
417,417,27.07,Centigrados
418,418,25,Centigrados
419,419,29.31,Centigrados
420,420,28.35,Centigrados
421,421,28.5,Centigrados
422,422,29.62,Centigrados
423,423,29.58,Centigrados
424,424,24.49,Centigrados
425,425,30.04,Centigrados
426,426,22.89,Centigrados
427,427,27.46,Centigrados
428,428,30.3,Centigrados
429,429,29.78,Centigrados
430,430,29.01,Centigrados
431,431,25.22,Centigrados
432,432,23.12,Centigrados
433,433,27.77,Centigrados
434,434,25.18,Centigrados
435,435,25.44,Centigrados
436,436,23.43,Centigrados
437,437,25.63,Centigrados
438,438,23.96,Centigrados
439,439,24.07,Centigrados
440,440,25.92,Centigrados
441,441,25.14,Centigrados
442,442,26.39,Centigrados
443,443,28.23,Centigrados
444,444,27.17,Centigrados
445,445,30.19,Centigrados
446,446,22.89,Centigrados
447,447,23.56,Centigrados
448,448,28.58,Centigrados
449,449,29.85,Centigrados
450,450,26.68,Centigrados
451,451,25.09,Centigrados
452,452,26.68,Centigrados
453,453,29.4,Centigrados
454,454,23.69,Centigrados
455,455,29.1,Centigrados
456,456,28.27,Centigrados
457,457,27.95,Centigrados
458,458,23.38,Centigrados
459,459,27.37,Centigrados
460,460,31.07,Centigrados
461,461,24.29,Centigrados
462,462,26.55,Centigrados
463,463,31.1,Centigrados
464,464,23.42,Centigrados
465,465,23.3,Centigrados
466,466,27.07,Centigrados
467,467,24.13,Centigrados
468,468,30.77,Centigrados
469,469,29.69,Centigrados
470,470,29.92,Centigrados
471,471,28.73,Centigrados
472,472,24.66,Centigrados
473,473,23.94,Centigrados
474,474,27.46,Centigrados
475,475,30.62,Centigrados
476,476,28.06,Centigrados
477,477,27.64,Centigrados
478,478,29.27,Centigrados
479,479,25.2,Centigrados
480,480,27.14,Centigrados
481,481,27.19,Centigrados
482,482,31.09,Centigrados
483,483,30.69,Centigrados
484,484,30.51,Centigrados
485,485,23.88,Centigrados
486,486,27.96,Centigrados
487,487,30.19,Centigrados
488,488,31.24,Centigrados
489,489,23.49,Centigrados
490,490,24.01,Centigrados
491,491,24.27,Centigrados
492,492,30.86,Centigrados
493,493,26.22,Centigrados
494,494,30.04,Centigrados
495,495,24.27,Centigrados
496,496,27.29,Centigrados
497,497,30.28,Centigrados
498,498,28.4,Centigrados
499,499,26.45,Centigrados
500,500,25.78,Centigrados
501,501,25.72,Centigrados
502,502,27.36,Centigrados
503,503,30.49,Centigrados
504,504,23.95,Centigrados
505,505,28.69,Centigrados
506,506,24.73,Centigrados
507,507,26.89,Centigrados
508,508,27.94,Centigrados
509,509,24.06,Centigrados
510,510,27.26,Centigrados
511,511,30.39,Centigrados
512,512,28.49,Centigrados
513,513,28.44,Centigrados
514,514,24.92,Centigrados
515,515,25.75,Centigrados
516,516,29.56,Centigrados
517,517,29.61,Centigrados
518,518,31.18,Centigrados
519,519,29.55,Centigrados
520,520,30.18,Centigrados
521,521,31.14,Centigrados
522,522,30.22,Centigrados
523,523,28.88,Centigrados
524,524,25.34,Centigrados
525,525,29.66,Centigrados
526,526,24.73,Centigrados
527,527,23.5,Centigrados
528,528,24.3,Centigrados
529,529,24.92,Centigrados
530,530,26.76,Centigrados
531,531,25.98,Centigrados
532,532,29.47,Centigrados
533,533,26.97,Centigrados
534,534,29.94,Centigrados
535,535,23.32,Centigrados
536,536,22.45,Centigrados
537,537,24.78,Centigrados
538,538,28.91,Centigrados
539,539,29.11,Centigrados
540,540,24.28,Centigrados
541,541,26.59,Centigrados
542,542,27.88,Centigrados
543,543,24.44,Centigrados
544,544,22.85,Centigrados
545,545,23.17,Centigrados
546,546,30.36,Centigrados
547,547,23.76,Centigrados
548,548,29.43,Centigrados
549,549,28.32,Centigrados
550,550,22.93,Centigrados
551,551,28.75,Centigrados
552,552,25.29,Centigrados
553,553,26.94,Centigrados
554,554,26.83,Centigrados
555,555,24.15,Centigrados
556,556,27,Centigrados
557,557,29.85,Centigrados
558,558,24.53,Centigrados
559,559,22.84,Centigrados
560,560,20.9,Centigrados
561,561,21.6,Centigrados
562,562,20.46,Centigrados
563,563,27.92,Centigrados
564,564,26.36,Centigrados
565,565,29.71,Centigrados
566,566,26.7,Centigrados
567,567,29.82,Centigrados
568,568,24.18,Centigrados
569,569,22.6,Centigrados
570,570,22.81,Centigrados
571,571,22.67,Centigrados
572,572,26.93,Centigrados
573,573,25.47,Centigrados
574,574,22.6,Centigrados
575,575,24.94,Centigrados
576,576,27.84,Centigrados
577,577,23.69,Centigrados
578,578,23.05,Centigrados
579,579,21.3,Centigrados
580,580,24.9,Centigrados
581,581,28.92,Centigrados
582,582,23.02,Centigrados
583,583,24.26,Centigrados
584,584,23.57,Centigrados
585,585,20.85,Centigrados
586,586,28.56,Centigrados
587,587,29.45,Centigrados
588,588,20.89,Centigrados
589,589,20.82,Centigrados
590,590,24.14,Centigrados
591,591,28.36,Centigrados
592,592,28.57,Centigrados
593,593,28.68,Centigrados
594,594,28.05,Centigrados
595,595,21.49,Centigrados
596,596,24.86,Centigrados
597,597,29.3,Centigrados
598,598,28.69,Centigrados
599,599,28.35,Centigrados
600,600,21.4,Centigrados
601,601,21.53,Centigrados
602,602,25.8,Centigrados
603,603,26.11,Centigrados
604,604,25.84,Centigrados
605,605,22.59,Centigrados
606,606,21.39,Centigrados
607,607,21.57,Centigrados
608,608,25.24,Centigrados
609,609,21.11,Centigrados
610,610,25.99,Centigrados
611,611,29.32,Centigrados
612,612,25.88,Centigrados
613,613,21.56,Centigrados
614,614,28.68,Centigrados
615,615,23.21,Centigrados
616,616,29.14,Centigrados
617,617,21.76,Centigrados
618,618,27.12,Centigrados
619,619,22.4,Centigrados
620,620,27.1,Centigrados
621,621,22.89,Centigrados
622,622,26.13,Centigrados
623,623,24.79,Centigrados
624,624,26.7,Centigrados
625,625,29.1,Centigrados
626,626,24.3,Centigrados
627,627,27.43,Centigrados
628,628,23.69,Centigrados
629,629,28.88,Centigrados
630,630,28.66,Centigrados
631,631,29.39,Centigrados
632,632,28.49,Centigrados
633,633,29.89,Centigrados
634,634,23.18,Centigrados
635,635,23.76,Centigrados
636,636,29.49,Centigrados
637,637,22.13,Centigrados
638,638,23.73,Centigrados
639,639,25.63,Centigrados
640,640,28.25,Centigrados
641,641,24.49,Centigrados
642,642,28.99,Centigrados
643,643,26.72,Centigrados
644,644,22.52,Centigrados
645,645,24.27,Centigrados
646,646,28.68,Centigrados
647,647,28.78,Centigrados
648,648,24.21,Centigrados
649,649,21.38,Centigrados
650,650,23.38,Centigrados
651,651,29.43,Centigrados
652,652,21.45,Centigrados
653,653,29.01,Centigrados
654,654,29.09,Centigrados
655,655,30.81,Centigrados
656,656,26.51,Centigrados
657,657,31.19,Centigrados
658,658,23.89,Centigrados
659,659,23.61,Centigrados
660,660,23.52,Centigrados
661,661,22.18,Centigrados
662,662,24.55,Centigrados
663,663,25.99,Centigrados
664,664,28.89,Centigrados
665,665,25.85,Centigrados
666,666,26.27,Centigrados
667,667,29.99,Centigrados
668,668,22.23,Centigrados
669,669,25.66,Centigrados
670,670,23.66,Centigrados
671,671,23.44,Centigrados
672,672,24.23,Centigrados
673,673,23.6,Centigrados
674,674,27.19,Centigrados
675,675,31.02,Centigrados
676,676,24.94,Centigrados
677,677,28.08,Centigrados
678,678,27.39,Centigrados
679,679,23.2,Centigrados
680,680,27.25,Centigrados
681,681,30.61,Centigrados
682,682,29.52,Centigrados
683,683,26.1,Centigrados
684,684,27.09,Centigrados
685,685,28.34,Centigrados
686,686,30.96,Centigrados
687,687,25.37,Centigrados
688,688,23.22,Centigrados
689,689,31.04,Centigrados
690,690,24.14,Centigrados
691,691,24.41,Centigrados
692,692,29.98,Centigrados
693,693,22.69,Centigrados
694,694,25.2,Centigrados
695,695,23.85,Centigrados
696,696,25.09,Centigrados
697,697,30.19,Centigrados
698,698,30.27,Centigrados
699,699,24.08,Centigrados
700,700,27.4,Centigrados
701,701,25.91,Centigrados
702,702,29.81,Centigrados
703,703,25.7,Centigrados
704,704,23.2,Centigrados
705,705,27.93,Centigrados
706,706,30.12,Centigrados
707,707,25.93,Centigrados
708,708,25.06,Centigrados
709,709,29.93,Centigrados
710,710,26.54,Centigrados
711,711,29.46,Centigrados
712,712,22.8,Centigrados
713,713,23.37,Centigrados
714,714,23.99,Centigrados
715,715,27.83,Centigrados
716,716,25.84,Centigrados
717,717,27.8,Centigrados
718,718,24.7,Centigrados
719,719,28.28,Centigrados
720,720,29.52,Centigrados
721,721,28.81,Centigrados
722,722,27.31,Centigrados
723,723,30.56,Centigrados
724,724,30,Centigrados
725,725,26.15,Centigrados
726,726,27.83,Centigrados
727,727,24.79,Centigrados
728,728,26.45,Centigrados
729,729,28.59,Centigrados
730,730,28.99,Centigrados
731,731,29.57,Centigrados
732,732,25.97,Centigrados
733,733,26.98,Centigrados
734,734,24.51,Centigrados
735,735,25.82,Centigrados
736,736,23.32,Centigrados
737,737,25.48,Centigrados
738,738,28.87,Centigrados
739,739,26.3,Centigrados
740,740,28.66,Centigrados
741,741,29.39,Centigrados
742,742,25.81,Centigrados
743,743,27.71,Centigrados
744,744,23.75,Centigrados
745,745,31.03,Centigrados
746,746,30.36,Centigrados
747,747,23.17,Centigrados
748,748,26.44,Centigrados
749,749,25.44,Centigrados
750,750,29.79,Centigrados
751,751,25.38,Centigrados
752,752,27.85,Centigrados
753,753,26.64,Centigrados
754,754,26.28,Centigrados
755,755,23.32,Centigrados
756,756,30.02,Centigrados
757,757,24.92,Centigrados
758,758,26.07,Centigrados
759,759,30.15,Centigrados
760,760,28.5,Centigrados
761,761,25.64,Centigrados
762,762,26.11,Centigrados
763,763,26.91,Centigrados
764,764,27.86,Centigrados
765,765,29.7,Centigrados
766,766,25.24,Centigrados
767,767,23.32,Centigrados
768,768,24.34,Centigrados
769,769,29.39,Centigrados
770,770,30.79,Centigrados
771,771,24.16,Centigrados
772,772,28.55,Centigrados
773,773,31.05,Centigrados
774,774,30.29,Centigrados
775,775,23.23,Centigrados
776,776,27.52,Centigrados
777,777,24.45,Centigrados
778,778,27.53,Centigrados
779,779,24.82,Centigrados
780,780,29.7,Centigrados
781,781,29.58,Centigrados
782,782,24.46,Centigrados
783,783,26.89,Centigrados
784,784,26.91,Centigrados
785,785,30.63,Centigrados
786,786,25.44,Centigrados
787,787,25.83,Centigrados
788,788,24.89,Centigrados
789,789,24.95,Centigrados
790,790,23.29,Centigrados
791,791,29.43,Centigrados
792,792,29.91,Centigrados
793,793,30.46,Centigrados
794,794,23.45,Centigrados
795,795,29.06,Centigrados
796,796,30.81,Centigrados
797,797,27.9,Centigrados
798,798,23.25,Centigrados
799,799,28.4,Centigrados
800,800,24.41,Centigrados
801,801,25.18,Centigrados
802,802,29.16,Centigrados
803,803,26.67,Centigrados
804,804,27.21,Centigrados
805,805,25.82,Centigrados
806,806,28.77,Centigrados
807,807,26.51,Centigrados
808,808,28.79,Centigrados
809,809,24.82,Centigrados
810,810,29.16,Centigrados
811,811,27.98,Centigrados
812,812,29.84,Centigrados
813,813,30.02,Centigrados
814,814,25.62,Centigrados
815,815,23.97,Centigrados
816,816,25,Centigrados
817,817,26.31,Centigrados
818,818,26.81,Centigrados
819,819,23.92,Centigrados
820,820,29.34,Centigrados
821,821,25.26,Centigrados
822,822,24.74,Centigrados
823,823,28.57,Centigrados
824,824,23.55,Centigrados
825,825,28.73,Centigrados
826,826,27.84,Centigrados
827,827,25.99,Centigrados
828,828,30.42,Centigrados
829,829,29.06,Centigrados
830,830,28.26,Centigrados
831,831,27.05,Centigrados
832,832,23.59,Centigrados
833,833,24.45,Centigrados
834,834,23.15,Centigrados
835,835,25.32,Centigrados
836,836,28.88,Centigrados
837,837,30.41,Centigrados
838,838,27.22,Centigrados
839,839,29.08,Centigrados
840,840,28.11,Centigrados
841,841,25.12,Centigrados
842,842,23.24,Centigrados
843,843,26.96,Centigrados
844,844,23.7,Centigrados
845,845,25.84,Centigrados
846,846,23.24,Centigrados
847,847,30.36,Centigrados
848,848,26.18,Centigrados
849,849,27.23,Centigrados
850,850,28.4,Centigrados
851,851,28.59,Centigrados
852,852,23.41,Centigrados
853,853,26.66,Centigrados
854,854,25.3,Centigrados
855,855,28.6,Centigrados
856,856,26.39,Centigrados
857,857,28.72,Centigrados
858,858,24.8,Centigrados
859,859,27.92,Centigrados
860,860,23.7,Centigrados
861,861,28.16,Centigrados
862,862,25.55,Centigrados
863,863,29.83,Centigrados
864,864,22.06,Centigrados
865,865,22.74,Centigrados
866,866,21.97,Centigrados
867,867,24.26,Centigrados
868,868,23.53,Centigrados
869,869,29.61,Centigrados
870,870,28.78,Centigrados
871,871,28.68,Centigrados
872,872,28.73,Centigrados
873,873,24.11,Centigrados
874,874,24.94,Centigrados
875,875,22.21,Centigrados
876,876,27.97,Centigrados
877,877,28.95,Centigrados
878,878,21.12,Centigrados
879,879,27.57,Centigrados
880,880,24.92,Centigrados
881,881,27.65,Centigrados
882,882,23.35,Centigrados
883,883,26.02,Centigrados
884,884,21.3,Centigrados
885,885,22.51,Centigrados
886,886,21.39,Centigrados
887,887,24.49,Centigrados
888,888,25.88,Centigrados
889,889,27.8,Centigrados
890,890,22.81,Centigrados
891,891,29.9,Centigrados
892,892,26.03,Centigrados
893,893,23.68,Centigrados
894,894,27.07,Centigrados
895,895,22.74,Centigrados
896,896,24.47,Centigrados
897,897,28.82,Centigrados
898,898,22.87,Centigrados
899,899,24.88,Centigrados
900,900,26.22,Centigrados
901,901,26.15,Centigrados
902,902,21.96,Centigrados
903,903,23.81,Centigrados
904,904,25.79,Centigrados
905,905,22.88,Centigrados
906,906,25.51,Centigrados
907,907,23.59,Centigrados
908,908,21.76,Centigrados
909,909,25.21,Centigrados
910,910,29.23,Centigrados
911,911,27.8,Centigrados
912,912,28.92,Centigrados
913,913,23.46,Centigrados
914,914,21.42,Centigrados
915,915,21.29,Centigrados
916,916,25.37,Centigrados
917,917,21.43,Centigrados
918,918,29.28,Centigrados
919,919,22.63,Centigrados
920,920,20.83,Centigrados
921,921,27.34,Centigrados
922,922,27.21,Centigrados
923,923,20.86,Centigrados
924,924,29.65,Centigrados
925,925,27.43,Centigrados
926,926,25.98,Centigrados
927,927,21.84,Centigrados
928,928,24.46,Centigrados
929,929,22.95,Centigrados
930,930,26.81,Centigrados
931,931,26.49,Centigrados
932,932,23.52,Centigrados
933,933,27.09,Centigrados
934,934,29.65,Centigrados
935,935,25.84,Centigrados
936,936,29,Centigrados
937,937,22,Centigrados
938,938,24.22,Centigrados
939,939,25.84,Centigrados
940,940,21.64,Centigrados
941,941,27.53,Centigrados
942,942,21.3,Centigrados
943,943,26.74,Centigrados
944,944,22.58,Centigrados
945,945,23.55,Centigrados
946,946,29.38,Centigrados
947,947,30.09,Centigrados
948,948,22.02,Centigrados
949,949,22.85,Centigrados
950,950,28.78,Centigrados
951,951,25.63,Centigrados
952,952,23.97,Centigrados
953,953,23.82,Centigrados
954,954,23.76,Centigrados
955,955,29,Centigrados
956,956,29.87,Centigrados
957,957,25.68,Centigrados
958,958,23.69,Centigrados
959,959,26.54,Centigrados
960,960,26.11,Centigrados
961,961,25.39,Centigrados
962,962,24.78,Centigrados
963,963,27.82,Centigrados
964,964,24.38,Centigrados
965,965,25.8,Centigrados
966,966,25.36,Centigrados
967,967,25.51,Centigrados
968,968,24.3,Centigrados
969,969,27.43,Centigrados
970,970,28.71,Centigrados
971,971,30.04,Centigrados
972,972,30.72,Centigrados
973,973,26.45,Centigrados
974,974,25.77,Centigrados
975,975,25.83,Centigrados
976,976,27.89,Centigrados
977,977,27.78,Centigrados
978,978,28.11,Centigrados
979,979,26.4,Centigrados
980,980,30.96,Centigrados
981,981,28.72,Centigrados
982,982,25.44,Centigrados
983,983,27.5,Centigrados
984,984,26.72,Centigrados
985,985,25.31,Centigrados
986,986,25.71,Centigrados
987,987,24.37,Centigrados
988,988,30.07,Centigrados
989,989,28.59,Centigrados
990,990,22.87,Centigrados
991,991,26.24,Centigrados
992,992,28.13,Centigrados
993,993,25.12,Centigrados
994,994,23.1,Centigrados
995,995,24.95,Centigrados
996,996,28.09,Centigrados
997,997,23.5,Centigrados
998,998,22.29,Centigrados
