ID_Partido,Liga,Temporada,Fecha,Hora,Equipo Local,Goles Equipo Local,Equipo Visitante,Goles Equipo Visitante,Temperatura,Altitud
68,Liga Española,1970-71,11/15/1970,2:37:51,Real Sociedad,3,Sporting de Gijón,1,22.37,63
69,Liga Española,1970-71,11/15/1970,2:37:51,Real Madrid,1,Athletic de Bilbao,2,26.58,478
70,Liga Española,1970-71,11/15/1970,2:37:51,Sabadell,0,Las Palmas,0,25.92,75
71,Liga Española,1970-71,11/15/1970,2:37:51,Sevilla,0,Barcelona,1,21.96,55
72,Liga Española,1970-71,11/15/1970,2:37:51,Valencia,1,Atlético de Madrid,0,26.91,88
73,Liga Española,1970-71,11/22/1970,2:47:56,Athletic de Bilbao,0,Valencia,0,29.66,156
74,Liga Española,1970-71,11/22/1970,2:47:56,Atlético de Madrid,4,Sevilla,1,28.76,150
75,Liga Española,1970-71,11/22/1970,2:47:56,Barcelona,2,Granada,1,23.39,500
76,Liga Española,1970-71,11/22/1970,2:47:56,Celta de Vigo,1,Espanyol,0,25.02,295
77,Liga Española,1970-71,11/22/1970,2:47:56,Las Palmas,1,Sporting de Gijón,2,27.98,75
78,Liga Española,1970-71,11/22/1970,2:47:56,CD Málaga,0,Real Sociedad,0,24.86,75
79,Liga Española,1970-71,11/22/1970,2:47:56,Sabadell,1,Elche,0,25.58,144
80,Liga Española,1970-71,11/22/1970,2:47:56,Real Zaragosa,0,Real Madrid,5,21.56,375
81,Liga Española,1970-71,11/29/1970,2:58:01,Espanyol,3,Sabadell,1,26.86,35
82,Liga Española,1970-71,11/29/1970,2:58:01,Sporting de Gijón,3,CD Malaga,0,25.96,140
83,Liga Española,1970-71,11/29/1970,2:58:01,Granada,0,Atlético de Madrid,0,26.67,70
84,Liga Española,1970-71,11/29/1970,2:58:01,Las Palmas,2,Elche,2,21.54,38
85,Liga Española,1970-71,11/29/1970,2:58:01,Real Sociedad,1,Barcelona,0,27.2,30
86,Liga Española,1970-71,11/29/1970,2:58:01,Real Madrid,4,Celta de Vigo,0,25.76,213
87,Liga Española,1970-71,11/29/1970,2:58:01,Sevilla,3,Athletic de Bilbao,2,21.87,75
88,Liga Española,1970-71,11/29/1970,2:58:01,Valencia,2,Real Zaragosa,0,26.87,19
89,Liga Española,1970-71,12/6/1970,3:08:06,Athletic de Bilbao,3,Granada,0,23.27,19
90,Liga Española,1970-71,12/6/1970,3:08:06,Atlético de Madrid,1,Real Sociedad,0,31.03,29
91,Liga Española,1970-71,12/6/1970,3:08:06,Barcelona,2,Sporting de Gijón,0,24.63,87
92,Liga Española,1970-71,12/6/1970,3:08:06,Celta de Vigo,1,Valencia,0,27.47,167
93,Liga Española,1970-71,12/6/1970,3:08:06,Elche,1,Espanyol,1,25.1,94
94,Liga Española,1970-71,12/6/1970,3:08:06,CD Málaga,1,Las Palmas,1,24.01,107
95,Liga Española,1970-71,12/6/1970,3:08:06,Sabadell,1,Real Madrid,1,28.51,67
96,Liga Española,1970-71,12/6/1970,3:08:06,Real Zaragosa,4,Sevilla,1,28.42,61
97,Liga Española,1970-71,12/13/1970,3:18:10,Espanyol,2,Las Palmas,1,26.53,15
98,Liga Española,1970-71,12/13/1970,3:18:10,Sporting de Gijón,1,Atlético de Madrid,1,24.69,55
99,Liga Española,1970-71,12/13/1970,3:18:10,Granada,3,Real Zaragosa,0,28.24,232
100,Liga Española,1970-71,12/13/1970,3:18:10,CD Málaga,0,Barcelona,1,25.39,71
101,Liga Española,1970-71,12/13/1970,3:18:10,Real Sociedad,2,Athletic de Bilbao,1,29.55,140
102,Liga Española,1970-71,12/13/1970,3:18:10,Real Madrid,1,Elche,1,30.47,163
103,Liga Española,1970-71,12/13/1970,3:18:10,Sevilla,2,Celta de Vigo,1,28.6,77
104,Liga Española,1970-71,12/13/1970,3:18:10,Valencia,2,Sabadell,1,29.1,163
105,Liga Española,1970-71,12/20/1970,3:28:15,Athletic de Bilbao,3,Sporting de Gijón,0,22.91,43
106,Liga Española,1970-71,12/20/1970,3:28:15,Atlético de Madrid,2,CD Malaga,1,24.86,61
107,Liga Española,1970-71,12/20/1970,3:28:15,Celta de Vigo,2,Granada,0,28.99,87
108,Liga Española,1970-71,12/20/1970,3:28:15,Elche,1,Valencia,3,24.37,85
109,Liga Española,1970-71,12/20/1970,3:28:15,Espanyol,0,Real Madrid,1,24.16,43
110,Liga Española,1970-71,12/20/1970,3:28:15,Las Palmas,3,Barcelona,2,26.54,17
111,Liga Española,1970-71,12/20/1970,3:28:15,Sabadell,2,Sevilla,1,27.58,19
112,Liga Española,1970-71,12/20/1970,3:28:15,Real Zaragosa,1,Real Sociedad,0,30.38,22
113,Liga Española,1970-71,12/27/1970,3:38:20,Barcelona,2,Atlético de Madrid,0,30.9,126
114,Liga Española,1970-71,12/27/1970,3:38:20,Sporting de Gijón,1,Real Zaragosa,1,23.22,131
115,Liga Española,1970-71,12/27/1970,3:38:20,Granada,3,Sabadell,1,30.09,275
116,Liga Española,1970-71,12/27/1970,3:38:20,CD Málaga,3,Athletic de Bilbao,3,27.97,304
117,Liga Española,1970-71,12/27/1970,3:38:20,Real Sociedad,1,Celta de Vigo,3,29.71,219
118,Liga Española,1970-71,12/27/1970,3:38:20,Real Madrid,4,Las Palmas,2,24.83,294
119,Liga Española,1970-71,12/27/1970,3:38:20,Sevilla,2,Elche,1,26.82,53
120,Liga Española,1970-71,12/27/1970,3:38:20,Valencia,2,Espanyol,1,26.16,324
121,Liga Española,1970-71,1/3/1971,3:48:25,Atlético de Madrid,2,Las Palmas,1,28.95,83
122,Liga Española,1970-71,1/3/1971,3:48:25,Barcelona,0,Athletic de Bilbao,1,25.21,183
123,Liga Española,1970-71,1/3/1971,3:48:25,Sporting de Gijón,4,Celta de Vigo,0,26.26,225
124,Liga Española,1970-71,1/3/1971,3:48:25,Granada,3,Elche,1,23.31,229
125,Liga Española,1970-71,1/3/1971,3:48:25,CD Málaga,1,Real Zaragosa,0,29.37,282
126,Liga Española,1970-71,1/3/1971,3:48:25,Real Sociedad,2,Sabadell,0,29.01,247
127,Liga Española,1970-71,1/3/1971,3:48:25,Sevilla,1,Espanyol,0,29.4,51
128,Liga Española,1970-71,1/3/1971,3:48:25,Valencia,1,Real Madrid,0,26.82,49
129,Liga Española,1970-71,1/10/1971,3:58:30,Athletic de Bilbao,1,Atlético de Madrid,0,23.07,305
130,Liga Española,1970-71,1/10/1971,3:58:30,Celta de Vigo,0,CD Malaga,0,27.33,143
131,Liga Española,1970-71,1/10/1971,3:58:30,Elche,1,Real Sociedad,2,26.4,289
132,Liga Española,1970-71,1/10/1971,3:58:30,Espanyol,1,Granada,0,28.3,164
133,Liga Española,1970-71,1/10/1971,3:58:30,Las Palmas,0,Valencia,0,26.64,79
134,Liga Española,1970-71,1/10/1971,3:58:30,Real Madrid,4,Sevilla,0,27.76,104
135,Liga Española,1970-71,1/10/1971,3:58:30,Sabadell,2,Sporting de Gijón,1,23.32,82
136,Liga Española,1970-71,1/10/1971,3:58:30,Real Zaragosa,1,Barcelona,2,27.22,265
137,Liga Española,1970-71,1/17/1971,4:08:34,Athletic de Bilbao,1,Las Palmas,0,23.77,200
138,Liga Española,1970-71,1/17/1971,4:08:34,Atlético de Madrid,3,Real Zaragosa,0,22.5,107
139,Liga Española,1970-71,1/17/1971,4:08:34,Barcelona,2,Celta de Vigo,1,24.28,248
140,Liga Española,1970-71,1/17/1971,4:08:34,Sporting de Gijón,3,Elche,1,27.47,238
141,Liga Española,1970-71,1/17/1971,4:08:34,Granada,2,Real Madrid,0,28.71,372
142,Liga Española,1970-71,1/17/1971,4:08:34,CD Málaga,1,Sabadell,0,24.66,110
143,Liga Española,1970-71,1/17/1971,4:08:34,Real Sociedad,1,Espanyol,0,24.03,55
144,Liga Española,1970-71,1/17/1971,4:08:34,Sevilla,2,Valencia,2,28.15,203
145,Liga Española,1970-71,1/24/1971,4:18:39,Celta de Vigo,3,Atlético de Madrid,2,27.98,163
146,Liga Española,1970-71,1/24/1971,4:18:39,Elche,1,CD Malaga,1,23.35,90
147,Liga Española,1970-71,1/24/1971,4:18:39,Espanyol,2,Sporting de Gijón,0,27.31,220
148,Liga Española,1970-71,1/24/1971,4:18:39,Real Madrid,1,Real Sociedad,0,29.47,358
149,Liga Española,1970-71,1/24/1971,4:18:39,Sabadell,2,Barcelona,1,24.16,327
150,Liga Española,1970-71,1/24/1971,4:18:39,Sevilla,3,Las Palmas,1,22.23,139
151,Liga Española,1970-71,1/24/1971,4:18:39,Valencia,2,Granada,1,25.76,72
152,Liga Española,1970-71,1/24/1971,4:18:39,Real Zaragosa,1,Athletic de Bilbao,2,25.8,95
153,Liga Española,1970-71,1/31/1971,4:28:44,Athletic de Bilbao,2,Celta de Vigo,0,28.48,370
154,Liga Española,1970-71,1/31/1971,4:28:44,Atlético de Madrid,4,Sabadell,1,25.85,321
155,Liga Española,1970-71,1/31/1971,4:28:44,Barcelona,0,Elche,0,30.26,221
156,Liga Española,1970-71,1/31/1971,4:28:44,Sporting de Gijón,0,Real Madrid,1,27.65,89
157,Liga Española,1970-71,1/31/1971,4:28:44,Granada,0,Sevilla,0,24.82,129
158,Liga Española,1970-71,1/31/1971,4:28:44,Las Palmas,4,Real Zaragosa,0,22.31,359
159,Liga Española,1970-71,1/31/1971,4:28:44,CD Málaga,0,Espanyol,0,28.61,251
160,Liga Española,1970-71,1/31/1971,4:28:44,Real Sociedad,0,Valencia,0,24.64,208
161,Liga Española,1970-71,2/7/1971,4:38:49,Celta de Vigo,2,Real Zaragosa,0,24.49,329
162,Liga Española,1970-71,2/7/1971,4:38:49,Elche,0,Atlético de Madrid,4,24.31,356
163,Liga Española,1970-71,2/7/1971,4:38:49,Espanyol,0,Barcelona,1,26.5,332
164,Liga Española,1970-71,2/7/1971,4:38:49,Las Palmas,2,Granada,0,28.85,147
165,Liga Española,1970-71,2/7/1971,4:38:49,Real Madrid,2,CD Malaga,2,24.47,355
166,Liga Española,1970-71,2/7/1971,4:38:49,Sabadell,1,Athletic de Bilbao,0,26.23,157
167,Liga Española,1970-71,2/7/1971,4:38:49,Sevilla,1,Real Sociedad,0,29.57,368
168,Liga Española,1970-71,2/7/1971,4:38:49,Valencia,1,Sporting de Gijón,0,26.76,280
169,Liga Española,1970-71,2/14/1971,4:48:54,Athletic de Bilbao,2,Elche,0,25.97,369
170,Liga Española,1970-71,2/14/1971,4:48:54,Atlético de Madrid,3,Espanyol,0,25.69,130
171,Liga Española,1970-71,2/14/1971,4:48:54,Barcelona,0,Real Madrid,1,23.43,52
172,Liga Española,1970-71,2/14/1971,4:48:54,Celta de Vigo,1,Las Palmas,0,27.17,279
173,Liga Española,1970-71,2/14/1971,4:48:54,Sporting de Gijón,4,Sevilla,0,26.19,83
174,Liga Española,1970-71,2/14/1971,4:48:54,CD Málaga,0,Valencia,1,27.48,100
175,Liga Española,1970-71,2/14/1971,4:48:54,Real Sociedad,1,Granada,1,30.19,223
176,Liga Española,1970-71,2/14/1971,4:48:54,Real Zaragosa,3,Sabadell,1,24.62,45
177,Liga Española,1970-71,2/28/1971,5:09:03,Elche,2,Real Zaragosa,1,23.99,373
178,Liga Española,1970-71,2/28/1971,5:09:03,Espanyol,1,Athletic de Bilbao,0,22.95,248
179,Liga Española,1970-71,2/28/1971,5:09:03,Granada,3,Sporting de Gijón,0,28.12,245
180,Liga Española,1970-71,2/28/1971,5:09:03,Real Sociedad,1,Las Palmas,0,27.17,198
181,Liga Española,1970-71,2/28/1971,5:09:03,Real Madrid,1,Atlético de Madrid,0,23.25,181
182,Liga Española,1970-71,2/28/1971,5:09:03,Sabadell,3,Celta de Vigo,2,23.86,331
183,Liga Española,1970-71,2/28/1971,5:09:03,Sevilla,1,CD Malaga,0,29.29,237
184,Liga Española,1970-71,2/28/1971,5:09:03,Valencia,1,Barcelona,1,24.24,172
185,Liga Española,1970-71,3/6/1971,5:17:42,Atlético de Madrid,3,Valencia,0,29.26,318
186,Liga Española,1970-71,3/7/1971,5:19:08,Athletic de Bilbao,0,Real Madrid,1,25.25,57
187,Liga Española,1970-71,3/7/1971,5:19:08,Barcelona,5,Sevilla,2,28.96,108
188,Liga Española,1970-71,3/7/1971,5:19:08,Celta de Vigo,3,Elche,0,26.69,60
189,Liga Española,1970-71,3/7/1971,5:19:08,Sporting de Gijón,2,Real Sociedad,0,30.43,115
190,Liga Española,1970-71,3/7/1971,5:19:08,Las Palmas,5,Sabadell,0,28.4,77
191,Liga Española,1970-71,3/7/1971,5:19:08,CD Málaga,1,Granada,0,28.07,129
192,Liga Española,1970-71,3/7/1971,5:19:08,Real Zaragosa,2,Espanyol,2,26.57,99
193,Liga Española,1970-71,3/14/1971,5:29:13,Elche,0,Sabadell,0,25.54,338
194,Liga Española,1970-71,3/14/1971,5:29:13,Espanyol,0,Celta de Vigo,1,28.47,259
195,Liga Española,1970-71,3/14/1971,5:29:13,Sporting de Gijón,2,Las Palmas,0,26.02,234
196,Liga Española,1970-71,3/14/1971,5:29:13,Granada,0,Barcelona,2,23.56,365
197,Liga Española,1970-71,3/14/1971,5:29:13,Real Sociedad,1,CD Malaga,2,24.79,227
198,Liga Española,1970-71,3/14/1971,5:29:13,Real Madrid,2,Real Zaragosa,1,30.87,107
199,Liga Española,1970-71,3/14/1971,5:29:13,Sevilla,1,Atlético de Madrid,1,26.59,198
200,Liga Española,1970-71,3/14/1971,5:29:13,Valencia,4,Athletic de Bilbao,0,28.21,88
201,Liga Española,1970-71,3/20/1971,5:37:51,Atlético de Madrid,3,Granada,0,27.53,196
202,Liga Española,1970-71,3/21/1971,5:39:18,Athletic de Bilbao,1,Sevilla,0,29.36,331
203,Liga Española,1970-71,3/21/1971,5:39:18,Barcelona,4,Real Sociedad,0,24.41,125
204,Liga Española,1970-71,3/21/1971,5:39:18,Celta de Vigo,2,Real Madrid,0,28.42,198
205,Liga Española,1970-71,3/21/1971,5:39:18,Elche,2,Las Palmas,0,27.59,223
206,Liga Española,1970-71,3/21/1971,5:39:18,CD Málaga,3,Sporting de Gijón,0,23.65,52
207,Liga Española,1970-71,3/21/1971,5:39:18,Sabadell,0,Espanyol,0,29.41,258
208,Liga Española,1970-71,3/21/1971,5:39:18,Real Zaragosa,0,Valencia,2,24.53,358
209,Liga Española,1970-71,3/28/1971,5:49:22,Espanyol,2,Elche,0,24.99,79
210,Liga Española,1970-71,3/28/1971,5:49:22,Sporting de Gijón,0,Barcelona,2,23.85,166
211,Liga Española,1970-71,3/28/1971,5:49:22,Granada,2,Athletic de Bilbao,2,29.16,235
212,Liga Española,1970-71,3/28/1971,5:49:22,Las Palmas,1,CD Malaga,2,28.35,260
213,Liga Española,1970-71,3/28/1971,5:49:22,Real Sociedad,0,Atlético de Madrid,1,24.26,179
214,Liga Española,1970-71,3/28/1971,5:49:22,Real Madrid,3,Sabadell,1,27.92,214
215,Liga Española,1970-71,3/28/1971,5:49:22,Sevilla,4,Real Zaragosa,2,23.71,333
216,Liga Española,1970-71,3/28/1971,5:49:22,Valencia,2,Celta de Vigo,1,30.15,350
217,Liga Española,1970-71,4/4/1971,5:59:27,Athletic de Bilbao,1,Real Sociedad,1,28.6,145
218,Liga Española,1970-71,4/4/1971,5:59:27,Atlético de Madrid,2,Sporting de Gijón,0,29.77,272
219,Liga Española,1970-71,4/4/1971,5:59:27,Barcelona,1,CD Malaga,0,23.52,236
220,Liga Española,1970-71,4/4/1971,5:59:27,Celta de Vigo,2,Sevilla,0,27.17,245
221,Liga Española,1970-71,4/4/1971,5:59:27,Elche,0,Real Madrid,1,29.36,88
222,Liga Española,1970-71,4/4/1971,5:59:27,Las Palmas,0,Espanyol,0,25.46,244
223,Liga Española,1970-71,4/4/1971,5:59:27,Sabadell,0,Valencia,1,27.59,87
224,Liga Española,1970-71,4/4/1971,5:59:27,Real Zaragosa,0,Granada,0,25.1,199
225,Liga Española,1970-71,4/10/1971,6:08:06,CD Málaga,0,Atlético de Madrid,0,27.87,326
226,Liga Española,1970-71,4/10/1971,6:08:06,Real Madrid,1,Espanyol,0,29.64,273
227,Liga Española,1970-71,4/11/1971,6:09:32,Sporting de Gijón,3,Athletic de Bilbao,1,29.52,132
228,Liga Española,1970-71,4/11/1971,6:09:32,Granada,1,Celta de Vigo,0,26.16,88
229,Liga Española,1970-71,4/11/1971,6:09:32,Real Sociedad,2,Real Zaragosa,0,29.06,371
230,Liga Española,1970-71,4/11/1971,6:09:32,Sevilla,1,Sabadell,0,27.33,153
231,Liga Española,1970-71,4/11/1971,6:09:32,Valencia,3,Elche,0,26.67,52
232,Liga Española,1970-71,4/12/1971,6:10:58,Barcelona,2,Las Palmas,0,26.58,158
233,Liga Española,1970-71,4/18/1971,6:19:37,Athletic de Bilbao,2,CD Malaga,1,23.46,201
234,Liga Española,1970-71,4/18/1971,6:19:37,Atlético de Madrid,1,Barcelona,1,23.69,55
235,Liga Española,1970-71,4/18/1971,6:19:37,Celta de Vigo,0,Real Sociedad,0,28.53,121
236,Liga Española,1970-71,4/18/1971,6:19:37,Elche,1,Sevilla,0,23.41,94
237,Liga Española,1970-71,4/18/1971,6:19:37,Espanyol,1,Valencia,0,23.43,307
238,Liga Española,1970-71,4/18/1971,6:19:37,Las Palmas,0,Real Madrid,0,26.15,312
239,Liga Española,1970-71,4/18/1971,6:19:37,Sabadell,0,Granada,1,26.29,122
240,Liga Española,1970-71,4/18/1971,6:19:37,Real Zaragosa,0,Sporting de Gijón,0,26.61,166
241,Liga Española,1971-72,9/4/1971,9:39:46,Athletic de Bilbao,1,Las Palmas,2,26.95,193
242,Liga Española,1971-72,9/4/1971,9:39:46,Valencia,1,Espanyol,1,24.97,95
243,Liga Española,1971-72,9/5/1971,9:41:13,Barcelona,3,Real Sociedad,0,22.74,119
244,Liga Española,1971-72,9/5/1971,9:41:13,Celta de Vigo,2,Atlético de Madrid,1,27.9,85
245,Liga Española,1971-72,9/5/1971,9:41:13,Deportivo la Coruña,3,Cordoba,2,23.27,189
246,Liga Española,1971-72,9/5/1971,9:41:13,Granada,2,CD Malaga,0,24.38,118
247,Liga Española,1971-72,9/5/1971,9:41:13,Real Madrid,2,Real Betis,0,23.41,242
248,Liga Española,1971-72,9/5/1971,9:41:13,Sabadell,0,Sporting de Gijón,2,21.25,307
249,Liga Española,1971-72,9/5/1971,9:41:13,Sevilla,2,Burgos FC,0,25.31,210
250,Liga Española,1971-72,9/11/1971,9:49:51,Atlético de Madrid,5,Sabadell,0,23.61,63
251,Liga Española,1971-72,9/11/1971,9:49:51,Sporting de Gijón,3,Athletic de Bilbao,2,24.26,266
252,Liga Española,1971-72,9/11/1971,9:49:51,Las Palmas,1,Valencia,1,25.01,67
253,Liga Española,1971-72,9/11/1971,9:49:51,CD Málaga,2,Deportivo la Coruña,0,21.24,305
254,Liga Española,1971-72,9/12/1971,9:51:18,Real Betis,1,Celta de Vigo,1,22.87,239
255,Liga Española,1971-72,9/12/1971,9:51:18,Burgos FC,1,Real Madrid,2,21.22,179
256,Liga Española,1971-72,9/12/1971,9:51:18,Cordoba,1,Sevilla,1,20.49,138
257,Liga Española,1971-72,9/12/1971,9:51:18,Espanyol,3,Barcelona,0,21.9,86
258,Liga Española,1971-72,9/12/1971,9:51:18,Real Sociedad,3,Granada,1,23.77,223
259,Liga Española,1971-72,9/18/1971,9:59:56,Valencia,1,Sporting de Gijón,0,29.75,347
260,Liga Española,1971-72,9/19/1971,10:01:22,Athletic de Bilbao,0,Atlético de Madrid,1,21.67,251
261,Liga Española,1971-72,9/19/1971,10:01:22,Barcelona,1,Las Palmas,2,20.82,253
262,Liga Española,1971-72,9/19/1971,10:01:22,Burgos FC,1,Cordoba,0,26.51,340
263,Liga Española,1971-72,9/19/1971,10:01:22,Deportivo la Coruña,1,Real Sociedad,0,29.8,315
264,Liga Española,1971-72,9/19/1971,10:01:22,Granada,0,Espanyol,0,24.08,280
265,Liga Española,1971-72,9/19/1971,10:01:22,Real Madrid,3,Celta de Vigo,0,23.14,202
266,Liga Española,1971-72,9/19/1971,10:01:22,Sabadell,2,Real Betis,1,20.68,61
267,Liga Española,1971-72,9/19/1971,10:01:22,Sevilla,1,CD Malaga,2,20.43,124
268,Liga Española,1971-72,9/25/1971,10:10:01,Las Palmas,2,Granada,2,24.2,152
269,Liga Española,1971-72,9/26/1971,10:11:27,Atlético de Madrid,0,Valencia,1,27.13,275
270,Liga Española,1971-72,9/26/1971,10:11:27,Real Betis,1,Athletic de Bilbao,0,26.09,262
271,Liga Española,1971-72,9/26/1971,10:11:27,Celta de Vigo,0,Sabadell,1,27.17,89
272,Liga Española,1971-72,9/26/1971,10:11:27,Cordoba,2,Real Madrid,2,24.8,179
273,Liga Española,1971-72,9/26/1971,10:11:27,Espanyol,2,Deportivo la Coruña,0,26.02,119
274,Liga Española,1971-72,9/26/1971,10:11:27,Sporting de Gijón,1,Barcelona,0,23.89,342
