ID_Ciudad,Pais,Nombre Ciudad,Clima Promedio,Unidad Clima,Altitud,Unidad Altitud
93,Inglaterra,Coventry,9.9,Centigrados,94,msnm
94,Inglaterra,Swindon,9.4,Centigrados,107,msnm
95,Inglaterra,Leicester,9.7,Centigrados,67,msnm
96,Inglaterra,Nottingham,9.8,Centigrados,61,msnm
97,Inglaterra,Middlesbrough ,9.1,Centigrados,15,msnm
98,Inglaterra,Derby,9.7,Centigrados,55,msnm
99,Inglaterra,Sunderland,8.8,Centigrados,232,msnm
100,Inglaterra,Watford,9.9,Centigrados,71,msnm
101,Inglaterra,Birmingham,9.2,Centigrados,140,msnm
102,Inglaterra,Bromwich,9,Centigrados,163,msnm
103,Inglaterra,Hampshire,8.5,Centigrados,77,msnm
104,Inglaterra,Wolverhampton,8.9,Centigrados,163,msnm
105,Inglaterra,Wigan,9.4,Centigrados,43,msnm
106,Inglaterra,Reading,9.9,Centigrados,61,msnm
107,Inglaterra,Staffordshire,13.2,Centigrados,87,msnm
108,Inglaterra,Lancashire,10.5,Centigrados,85,msnm
109,Inglaterra,Swansea,17.3,Centigrados,43,msnm
110,Inglaterra,Cardiff,10.3,Centigrados,17,msnm
111,Inglaterra,Bournemouth,9.6,Centigrados,19,msnm
112,Inglaterra,Brighton & Hove ,10.6,Centigrados,22,msnm
113,Inglaterra,Huddersfield ,9.6,Centigrados,126,msnm
